,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location
0,DATA SCIENTIST-HEALTHCARE,-1,"The Data Scientist has a deep understanding of big data and will help the Agile teams in building and enabling big data analytics solutions. Works with the Agile squad and the business users to continuously collect insight from maintenance data and enable digital use cases

Education
Type of degree: Master's Degree or PhD
Area of study or major: Information Technology, Computer Science, or a relative quantitative discipline
Experience",3.7,Premier Health,"Dayton, OH"
1,Staff Data Scientist,-1,"WHO WE ARE:
Voted one of the Top 100 Fastest Growing Companies in the Bay Area for 2020, Freedom Financial Network is a family of companies that takes a people-first approach to financial services, using technology to empower consumers to overcome debt and create a brighter financial future. The company was founded in 2002 by Brad Stroh and Andrew Housser on the belief that by staying committed to helping people, you can ensure better financial outcomes for both the customer and the business. This Heart/$ philosophy still guides the vision of our growing company, which has helped millions of people find solutions for their financial needs.
What began with 2 people in a spare bedroom has now rapidly expanded to a vibrant business that employs over 2000 employees (known internally as The Freedom Family) in two locations: San Mateo, CA and Tempe, AZ. When you visit either of our offices, you’ll understand why our employees have voted us the Best Place to Work for the last several years. It’s a place where the Heart/$ philosophy continues to thrive, where we believe that success is only achieved by doing what’s right for our customers, our employees, and our communities.
Some of the key responsibilities for the Analytic Scientist will include:",3.5,Freedom Financial Network,"Tempe, AZ"
2,R&D Scientist,$62K - $73K (Glassdoor est.),"LGC, Biosearch Technologies is seeking a detail-oriented and analytical team player to fulfill the role of Scientist in our Research and Development group in Middleton, WI. The individual will provide technical assistance to the R&D group in the areas of nucleic acid amplification and next generation sequencing. Experience in design and development of quantitative PCR and RT-PCR assays is a plus. The hired individual must have the ability to multi-task while maintaining precise documentation of experiments performed.

Key responsibilities and accountabilities:
Amplification (qPCR, RT-qPCR, isothermal amplification, digital PCR)
Standard molecular biology techniques (DNA extraction/purification, PCR, cloning)",3.5,LGC Limited,"Middleton, WI"
3,Business Intelligence Data Analyst,$64K - $77K (Glassdoor est.),"Business Intelligence Data Analyst
Location: Remote Position
BankSouth seeks an experienced Business Intelligence Data Analyst. This position works with the Innovation Team lead by the SVP, Chief Innovation Officer. This is a full-time opportunity to work remotely with a small team of seasoned marketing professionals. The Marketing Department uses data analytics and creative content strategy and execution programs to offer a digital-only banking experience for current and future customers. The successful candidate will have thorough knowledge of collecting, analyzing and interpreting data and results to identify actionable insights and recommendations for use in new deposit relationship creation. This position identifies, analyzes, and interprets trends or patterns in complex data to provide answers to business questions as well as offer support in the collaborative creation of successful multi-lateral marketing campaigns.",3.9,BANKSOUTH,"Greensboro, GA"
4,Data Scientist,$120K - $121K (Glassdoor est.),"Who Are We?
QinetiQ Inc. is a leading innovator with over 25 years of experience rapidly developing advanced C5ISR sensor solutions and is a renowned world leader in robotics and autonomy.
The combined QinetiQ U.S. business unit brings capabilities across the full lifecycle of technology development from applied research and development to rapid prototyping, testing, fielding, and sustainment. Our expertise with unmanned platforms, broad sensing modalities, and cross-domain interoperability ensures that we deliver integrated solutions for Warfighter dominance in all phases of combat.
We are a world-class team of professionals who deliver next generation technology and products in robotic and autonomous platforms and systems, ground systems, soldier systems, maritime systems, airborne sensors and payloads, processing and exploitation capabilities, and integrated C2 solutions. Much of our work contributes to innovative research in ?elds such as sensor science, signal processing, data fusion, arti?cial intelligence (AI), machine learning (ML), and augmented reality (AR).",2.5,QinetiQ Inc.,"Lorton, VA"
5,-1,$35K - $62K (Glassdoor est.),-1,-1,-1,-1
6,-1,$139K - $193K (Glassdoor est.),-1,-1,-1,-1
7,Workforce Data Analyst,$38K - $65K (Glassdoor est.),"Overview:
Heritage Christian Services is seeking candidates for a Workforce Data Analyst position. In this role you will be responsible for the day-to-day administration of iCIMS, the applicant tracking system, and HireVue, the video interview technology and analysis of workforce data; which contributes to positioning Heritage Christian Services as a premier employer. In addition, you will connect with candidates to ensure their application experience is positive by providing technical assistance and outstanding customer service.
Responsibilities:
Serve as system administrator for applicant tracking system (iCIMS) and HireVue.
Track applicant status on iCIMS and HireVue daily.
Review iCIMS completed applications and HireVue on demand interviews; sending scheduling link to qualified candidates.
Qualifications:",3.5,Heritage Christian Services,"Rochester, NY"
8,Research Scientist I - Essentia,-1,"New product development of broths, stocks, flavors, animal fats and functional collagen products; lead and conduct pilot plant and production plant trials; support operations with technical expertise to improve quality / reduce cost of existing products; collaborate and provide technical support to internal cross functional groups and external customers; propose and identify new technological opportunities.
JOB QUALIFICATIONS:
Education and Experience:
Bachelor of Science degree plus a minimum of 4 years of experience
Master of Science plus 2 years of experience",2.8,The Lauridsen Group,"Ankeny, IA"
9,Associate Scientist,$35K - $72K (Glassdoor est.),"Sanvita Medical, an exciting new medical device company in diabetes healthcare operating within one of Nova Biomedical’s facilities, is hiring an Associate Scientist in Billerica, MA. This is an opportunity for a recent STEM grad to work within a multi-disciplinary team conducting research and development of chemical/ biological sensors. Starting out, significant part of responsibilities of this role will include performing data entry.
Responsibilities
Perform data entry of clinical research records and other scientific data with high level of accuracy.
Conduct research in assigned areas under general supervision using established methodologies.
Develop laboratory skills and familiarity with equipment for operation, maintenance, and raw data gathering.",3.6,Nova Biomedical,"Billerica, MA"
10,Staff Data Scientist,$114K - $144K (Glassdoor est.),"Alteryx is searching for a Staff Data Scientist in our Boston office.
We’re looking for problem solvers, innovators, and dreamers who are searching for anything but business as usual. Like us, you’re a high performer who’s an expert at your craft, constantly challenging the status quo. You value inclusivity and want to join a culture that empowers you to show up as your authentic self. You know that success hinges on commitment, that our differences make us stronger, and that the finish line is always sweeter when the whole team crosses together.
Alteryx Innovation Labs
The Innovation Labs office, Alteryx's first office presence in Boston, was started earlier this year by the acquisition of MIT-spinout Feature Labs . This rapidly growing team combines the excitement of being part of a fast-paced, innovative startup with the resources, market penetration, and wisdom of a data analytics market leader. Our goal is to turbo-charge machine learning and data science efforts on the Alteryx platform, and to enable anyone to solve dynamic problems. We are working on high-impact, high-visibility projects, and we’re looking for collaborative and knowledge-hungry teammates who want to join us as we work to democratize machine learning.",3.5,"Alteryx, Inc.","Boston, MA"
11,Data Scientist,-1,"Job Posting End Date: April 20
Unum is a company of people serving people. As one of the world's leading employee benefits providers and a Fortune 500 company, Unum's financial protection benefits help protect more than 36 million working people and their families from the financial impact of illness or injury. Unum's three distinct, but similarly focused US businesses – Unum US, Colonial Life, and Starmount Life – are each a market leader in making disability, life, accident, critical illness, dental, and vision insurance accessible in the workplace.
Headquartered in Chattanooga, Tennessee, Unum also has significant US operations in Portland, Maine, - and over 35 field offices nationwide. Colonial Life is headquartered in Columbia, South Carolina with over 40 field offices nationwide. Starmount Life is based in Baton Rouge, Louisiana, and is the dental and vision center of excellence for Unum in the US.
General Summary:
General Summary
This position for a developing data scientist who is excited to transform data into actionable insights and impact the business through his/her work. The role requires increasing technical expertise in the fields of computer programming, applied statistics and data manipulation; and relies on developing business knowledge. The individual will participate in project work primarily within the functional area, with direction and review by manager. The individual is expected to continuously increase business knowledge and take initiative in identifying and executing analytical approaches to support assigned projects.

Position will interface with actuaries on pricing, reserving, and risk.

Unum",3.8,Unum,"Portland, ME"
12,Data Scientist,-1,"Job Posting End Date: April 20
Unum is a company of people serving people. As one of the world's leading employee benefits providers and a Fortune 500 company, Unum's financial protection benefits help protect more than 36 million working people and their families from the financial impact of illness or injury. Unum's three distinct, but similarly focused US businesses – Unum US, Colonial Life, and Starmount Life – are each a market leader in making disability, life, accident, critical illness, dental, and vision insurance accessible in the workplace.
Headquartered in Chattanooga, Tennessee, Unum also has significant US operations in Portland, Maine, - and over 35 field offices nationwide. Colonial Life is headquartered in Columbia, South Carolina with over 40 field offices nationwide. Starmount Life is based in Baton Rouge, Louisiana, and is the dental and vision center of excellence for Unum in the US.
General Summary:
General Summary
This position for a developing data scientist who is excited to transform data into actionable insights and impact the business through his/her work. The role requires increasing technical expertise in the fields of computer programming, applied statistics and data manipulation; and relies on developing business knowledge. The individual will participate in project work primarily within the functional area, with direction and review by manager. The individual is expected to continuously increase business knowledge and take initiative in identifying and executing analytical approaches to support assigned projects.

Position will interface with actuaries on pricing, reserving, and risk.

Unum",3.8,Unum,"Portland, ME"
13,Senior R&D Scientist,$98K - $121K (Glassdoor est.),"LGC, Biosearch Technologies is looking for a highly analytical and collaborative Senior Scientist to the R&D team at our our Middleton, WI, site. The Senior Scientist will be responsible for developing novel NGS tools and methodologies. The Senior Scientist will work collaboratively with internal and external partners, design and execute experimental plans, communicate results to colleagues and customers, manage and mentor junior scientists and contribute to LGC’s mission of Science for a Safer World.

LGC, Biosearch Technologies is a leader in providing reagents and technologies in the area of Next Generation Sequencing (NGS) for customers in agbio, biotech, pharma and academia. The company develops and markets various enzymes, oligos, beads and instruments for whole genome sequencing, amplicon sequencing, single cell sequencing and genotyping. LGC is a global leader in providing genotyping services with multiple USA sites.",3.5,LGC Limited,"Middleton, WI"
14,-1,-1,-1,-1,-1,-1
